Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.03,0.845129239,0.212471132,-3.69664517,1.30335483
0.03,0.824840391,0.213048499,-6.910686085,-1.910686085
0.03,0.889962105,0.213625866,-3.760308735,1.239691265
0.03,0.833777146,0.214203233,-2.643587185,2.356412815
0.03,0.819750288,0.2147806,-1.35048625,3.64951375
0.03,0.732183813,0.215357968,-5.43539106,-0.43539106
0.03,0.783099755,0.215935335,-5.296285425,-0.296285425
0.03,0.794204351,0.216512702,-4.04910575,0.95089425
0.03,0.815870836,0.217090069,-2.51551458,2.48448542
0.03,0.839639561,0.217667436,-3.579009215,1.420990785
0.03,0.809418004,0.218244804,-1.552509975,3.447490025
0.03,0.798853133,0.218822171,-5.79769191,-0.79769191
0.03,0.80776305,0.219399538,-4.817690475,0.182309525
0.03,0.850523496,0.219976905,-6.184891625,-1.184891625
0.03,0.906293972,0.220554273,-3.72676236,1.27323764
0.03,0.912299518,0.22113164,-1.48347899,3.51652101
0.03,0.860790178,0.221709007,-3.950255765,1.049744235
0.03,0.851099003,0.222286374,-5.54900145,-0.54900145
0.03,0.843760547,0.222863741,-5.78516793,-0.78516793
0.03,0.822592039,0.223441109,-4.844527575,0.155472425
0.03,0.809707249,0.224018476,-3.578711025,1.421288975
0.03,0.812999266,0.224595843,-5.961249125,-0.961249125
0.03,0.851856405,0.22517321,-3.940415495,1.059584505
0.03,0.777070353,0.225750577,-5.200864625,-0.200864625
0.03,0.773521892,0.226327945,-3.763290635,1.236709365
0.03,0.757819207,0.226905312,-3.26486605,1.73513395
0.03,0.755066913,0.227482679,-4.32165141,0.67834859
0.03,0.774139146,0.228060046,-3.117112905,1.882887095
0.03,0.775147028,0.228637413,-5.4580535,-0.4580535
0.03,0.807446969,0.229214781,-5.388724325,-0.388724325
0.03,0.820448053,0.229792148,-2.517452815,2.482547185
0.03,0.801214798,0.230369515,-4.82767984,0.17232016
0.03,0.793962817,0.230946882,-6.056073545,-1.056073545
0.03,0.8503416,0.231524249,-0.80569312,4.19430688
0.03,0.765095043,0.232101617,-2.538922495,2.461077505
0.03,0.75598832,0.232678984,-6.888023645,-1.888023645
0.03,0.856537988,0.233256351,-4.510256585,0.489743415
0.03,0.901669045,0.233833718,-3.477028235,1.522971765
0.03,0.874527791,0.234411085,-4.04582566,0.95417434
0.03,0.875651967,0.234988453,-2.862756835,2.137243165
0.03,0.818587347,0.23556582,-5.244400365,-0.244400365
0.03,0.864416168,0.236143187,-3.45540946,1.54459054
0.03,0.868077941,0.236720554,-2.495088565,2.504911435
0.03,0.812674239,0.237297921,-5.71896975,-0.71896975
0.03,0.85737292,0.237875289,-5.280183165,-0.280183165
0.03,0.902653072,0.238452656,-2.140838845,2.859161155
0.03,0.888032816,0.239030023,-4.554985085,0.445014915
0.03,0.900416647,0.23960739,-4.76714727,0.23285273
0.03,0.900395773,0.240184758,-4.12872248,0.87127752
0.03,0.867952701,0.240762125,-4.50414369,0.49585631
0.03,0.900365954,0.241339492,-4.71108755,0.28891245
