Timestamp (seconds),Torque [Pound-inches/Raw],,
0.04,2.39446271,1.293812083,1.293812083
0.04,0.90045958,1.258871396,1.258871396
0.04,0.06278769,1.354385077,1.354385077
0.04,1.88842931,1.368093791,1.368093791
0.04,3.091855765,1.362430204,1.362430204
0.04,0.856175395,1.31520865,1.31520865
0.04,2.047197165,1.306142487,1.306142487
0.04,0.462211015,1.296880664,1.296880664
0.04,0.519794515,1.318113216,1.318113216
0.04,0.702597245,1.313991953,1.313991953
0.04,0.609257515,1.339465052,1.339465052
0.04,0.704386505,1.37861406,1.37861406
0.04,0.86375078,1.398179039,1.398179039
0.04,1.12799381,1.459467738,1.459467738
0.04,0.29595894,1.454249063,1.454249063
0.04,0.57627634,1.477261928,1.477261928
0.04,2.889669385,1.523911498,1.523911498
0.04,0.302966875,1.520535761,1.520535761
0.04,0.197698745,1.598545094,1.598545094
0.04,0.533810385,1.614037104,1.614037104
0.04,0.33025309,1.632111032,1.632111032
0.04,1.85473158,1.661932612,1.661932612
0.04,0.150014115,1.631711431,1.631711431
0.04,0.607439285,1.652117362,1.652117362
0.04,0.86407796,1.675521462,1.675521462
0.04,2.73889526,1.679332007,1.679332007
0.04,1.152297925,1.651383765,1.651383765
0.04,3.824826975,1.639926537,1.639926537
0.04,0.780401085,1.619598141,1.619598141
0.04,0.67438743,1.627489357,1.627489357
0.04,1.02481315,1.6528855,1.6528855
0.04,0.411515315,1.662282097,1.662282097
0.04,0.04755001,1.656396011,1.656396011
0.04,0.22737064,1.666929368,1.666929368
0.04,1.14526102,1.698038635,1.698038635
0.04,1.49061717,1.689104263,1.689104263
0.04,2.918595755,1.758897332,1.758897332
0.04,3.50830603,1.722807378,1.722807378
0.04,0.244994,1.710132874,1.710132874
0.04,3.316109685,1.742566193,1.742566193
0.04,5.455766435,1.691336697,1.691336697
0.04,0.324437995,1.590699769,1.590699769
0.04,1.29379857,1.601170501,1.601170501
0.04,0.874039025,1.622918956,1.622918956
0.04,1.12918665,1.641682909,1.641682909
0.04,3.964418225,1.721876963,1.721876963
0.04,0.571355875,1.67502461,1.67502461
0.04,1.401870725,1.668375107,1.668375107
0.04,0.305083315,1.660746895,1.660746895
0.04,1.03045017,1.658998805,1.658998805
0.04,0.647428395,1.696883403,1.696883403
0.04,5.676143625,1.744015494,1.744015494
0.04,0.748223375,1.6769117,1.6769117
0.04,1.605249945,1.696685426,1.696685426
